DATE,NAV
27-Jun-14,26.18500
30-Jun-14,26.21590
01-Jul-14,26.22220
02-Jul-14,26.34040
03-Jul-14,26.36410
04-Jul-14,26.38570
07-Jul-14,26.36520
08-Jul-14,26.31300
09-Jul-14,26.32180
10-Jul-14,26.28690
11-Jul-14,26.28320
14-Jul-14,26.26260
15-Jul-14,26.35370
16-Jul-14,26.38820
17-Jul-14,26.42900
18-Jul-14,26.39830
21-Jul-14,26.52200
22-Jul-14,26.57270
23-Jul-14,26.63110
24-Jul-14,26.64470
25-Jul-14,26.58030
28-Jul-14,26.53430
30-Jul-14,26.48610
31-Jul-14,26.49800
01-Aug-14,26.49180
04-Aug-14,26.50210
05-Aug-14,26.30780
06-Aug-14,26.25640
07-Aug-14,26.26520
08-Aug-14,26.30980
11-Aug-14,26.35960
12-Aug-14,26.31760
13-Aug-14,26.42790
14-Aug-14,26.50660
19-Aug-14,26.52750
20-Aug-14,26.66440
21-Aug-14,26.64160
22-Aug-14,26.67060
25-Aug-14,26.61950
26-Aug-14,26.62700
27-Aug-14,26.65150
28-Aug-14,26.64620
01-Sep-14,26.66970
02-Sep-14,26.71890
03-Sep-14,26.71930
04-Sep-14,26.72540
05-Sep-14,26.73530
08-Sep-14,26.78600
09-Sep-14,26.76050
10-Sep-14,26.73600
11-Sep-14,26.79590
12-Sep-14,26.81210
15-Sep-14,26.82840
16-Sep-14,26.84640
17-Sep-14,26.85360
18-Sep-14,26.95230
19-Sep-14,26.95220
22-Sep-14,26.99980
23-Sep-14,26.94950
24-Sep-14,26.93260
25-Sep-14,26.92860
26-Sep-14,27.03030
29-Sep-14,26.95990
30-Sep-14,26.94280
01-Oct-14,27.00140
07-Oct-14,27.07560
09-Oct-14,27.10920
10-Oct-14,27.12770
13-Oct-14,27.20620
14-Oct-14,27.26180
16-Oct-14,27.33750
17-Oct-14,27.32150
20-Oct-14,27.40920
21-Oct-14,27.43280
22-Oct-14,27.48200
27-Oct-14,27.60580
28-Oct-14,27.64480
29-Oct-14,27.66840
30-Oct-14,27.76910
31-Oct-14,27.87350
03-Nov-14,27.95170
05-Nov-14,28.14150
07-Nov-14,28.11340
10-Nov-14,28.18980
11-Nov-14,28.17780
12-Nov-14,28.21960
13-Nov-14,28.12100
14-Nov-14,28.11020
17-Nov-14,28.19590
18-Nov-14,28.26980
19-Nov-14,28.26280
20-Nov-14,28.27090
21-Nov-14,28.28070
24-Nov-14,28.33160
25-Nov-14,28.35990
26-Nov-14,28.37190
27-Nov-14,28.38090
28-Nov-14,28.54370
01-Dec-14,28.66450
02-Dec-14,28.92220
03-Dec-14,28.94420
04-Dec-14,28.95520
05-Dec-14,29.06260
08-Dec-14,29.13020
09-Dec-14,29.22750
10-Dec-14,29.22600
11-Dec-14,29.37260
12-Dec-14,29.48680
15-Dec-14,29.49130
16-Dec-14,29.15250
17-Dec-14,29.18340
18-Dec-14,29.27850
19-Dec-14,29.20950
22-Dec-14,29.20870
23-Dec-14,29.26970
24-Dec-14,29.22260
26-Dec-14,29.17310
29-Dec-14,29.29490
30-Dec-14,29.41790
31-Dec-14,29.45210
01-Jan-15,29.40690
02-Jan-15,29.37020
05-Jan-15,29.34480
06-Jan-15,29.33670
07-Jan-15,29.43050
08-Jan-15,29.44540
09-Jan-15,29.47500
12-Jan-15,29.58450
13-Jan-15,29.69240
14-Jan-15,29.69190
15-Jan-15,29.96650
16-Jan-15,30.06060
19-Jan-15,30.03040
20-Jan-15,30.08120
21-Jan-15,30.22180
22-Jan-15,30.21710
23-Jan-15,30.24460
27-Jan-15,30.27030
28-Jan-15,30.30950
29-Jan-15,30.30780
30-Jan-15,30.36610
02-Feb-15,30.53730
03-Feb-15,30.43140
04-Feb-15,30.42030
05-Feb-15,30.45740
06-Feb-15,30.47360
09-Feb-15,30.44640
10-Feb-15,30.45060
11-Feb-15,30.43170
12-Feb-15,30.39740
13-Feb-15,30.52360
16-Feb-15,30.50260
18-Feb-15,30.50580
20-Feb-15,30.54870
23-Feb-15,30.55300
24-Feb-15,30.52860
25-Feb-15,30.54550
26-Feb-15,30.50530
27-Feb-15,30.54900
02-Mar-15,30.52990
03-Mar-15,30.48930
04-Mar-15,30.62570
05-Mar-15,30.54220
09-Mar-15,30.46780
10-Mar-15,30.41920
11-Mar-15,30.41900
12-Mar-15,30.48160
13-Mar-15,30.35590
16-Mar-15,30.37350
17-Mar-15,30.41770
18-Mar-15,30.38260
19-Mar-15,30.45010
20-Mar-15,30.46300
23-Mar-15,30.45910
24-Mar-15,30.44400
25-Mar-15,30.39290
26-Mar-15,30.34070
27-Mar-15,30.37360
30-Mar-15,30.44890
31-Mar-15,30.54090
06-Apr-15,30.63270
07-Apr-15,30.48850
08-Apr-15,30.48150
09-Apr-15,30.50750
10-Apr-15,30.48370
13-Apr-15,30.48000
15-Apr-15,30.51180
16-Apr-15,30.50410
17-Apr-15,30.51310
20-Apr-15,30.53010
21-Apr-15,30.55820
22-Apr-15,30.60720
23-Apr-15,30.59730
24-Apr-15,30.54790
27-Apr-15,30.56950
28-Apr-15,30.59090
29-Apr-15,30.52900
30-Apr-15,30.47890
05-May-15,30.56690
06-May-15,30.45240
07-May-15,30.33040
08-May-15,30.27120
11-May-15,30.38860
12-May-15,30.30220
13-May-15,30.26780
14-May-15,30.28880
15-May-15,30.26030
18-May-15,30.31950
19-May-15,30.47060
20-May-15,30.51580
21-May-15,30.51540
22-May-15,30.54600
25-May-15,30.54550
26-May-15,30.51950
27-May-15,30.53130
28-May-15,30.57350
29-May-15,30.61810
01-Jun-15,30.60810
02-Jun-15,30.39670
03-Jun-15,30.32830
04-Jun-15,30.20510
05-Jun-15,30.20710
08-Jun-15,30.18360
09-Jun-15,30.22650
10-Jun-15,30.16660
11-Jun-15,30.06440
12-Jun-15,30.02650
15-Jun-15,30.07740
16-Jun-15,30.05300
17-Jun-15,30.14290
18-Jun-15,30.35220
19-Jun-15,30.51440
22-Jun-15,30.49840
23-Jun-15,30.47050
24-Jun-15,30.42600
25-Jun-15,30.30160
26-Jun-15,30.26300
29-Jun-15,30.19350
30-Jun-15,30.28630
01-Jul-15,30.38350
02-Jul-15,30.43620
03-Jul-15,30.47190
06-Jul-15,30.61960
07-Jul-15,30.59820
08-Jul-15,30.61700
09-Jul-15,30.60260
10-Jul-15,30.58540
13-Jul-15,30.43980
14-Jul-15,30.51190
15-Jul-15,30.51140
16-Jul-15,30.49620
17-Jul-15,30.51640
20-Jul-15,30.52150
21-Jul-15,30.52400
22-Jul-15,30.54730
23-Jul-15,30.59350
24-Jul-15,30.58390
27-Jul-15,30.61470
28-Jul-15,30.72580
29-Jul-15,30.73300
30-Jul-15,30.71610
31-Jul-15,30.76320
03-Aug-15,30.79860
04-Aug-15,30.73760
05-Aug-15,30.75170
06-Aug-15,30.80780
07-Aug-15,30.80160
10-Aug-15,30.84890
11-Aug-15,30.83640
12-Aug-15,30.84440
13-Aug-15,30.96630
14-Aug-15,31.02670
17-Aug-15,31.03930
19-Aug-15,31.07750
20-Aug-15,31.07780
21-Aug-15,30.99170
24-Aug-15,30.80760
25-Aug-15,30.95960
26-Aug-15,31.01890
27-Aug-15,31.08070
28-Aug-15,31.06420
31-Aug-15,31.06010
01-Sep-15,31.14460
02-Sep-15,31.16530
03-Sep-15,31.17200
04-Sep-15,31.13360
07-Sep-15,31.07780
08-Sep-15,31.14850
09-Sep-15,31.17750
10-Sep-15,31.14730
11-Sep-15,31.16480
14-Sep-15,31.22090
15-Sep-15,31.22550
16-Sep-15,31.25870
18-Sep-15,31.43460
21-Sep-15,31.45440
22-Sep-15,31.41600
23-Sep-15,31.41120
24-Sep-15,31.41350
28-Sep-15,31.40960
29-Sep-15,31.65710
30-Sep-15,31.85440
01-Oct-15,31.81450
05-Oct-15,31.95530
06-Oct-15,31.93000
07-Oct-15,31.89840
08-Oct-15,31.92930
09-Oct-15,31.94070
12-Oct-15,31.84890
13-Oct-15,31.87200
14-Oct-15,31.89070
15-Oct-15,31.92220
16-Oct-15,31.92770
19-Oct-15,31.92080
20-Oct-15,31.92930
21-Oct-15,31.92260
23-Oct-15,31.90750
26-Oct-15,31.85870
27-Oct-15,31.88060
