date,price,open,high,low,change
Jun 29 2014,8.666,8.726,8.747,8.640,-0.95
Jun 22 2014,8.749,8.747,8.776,8.695,0.29
Jun 15 2014,8.724,8.640,8.724,8.601,1.47
Jun 08 2014,8.598,8.532,8.598,8.532,0.99
Jun 01 2014,8.514,8.648,8.662,8.514,-1.53
May 25 2014,8.646,8.647,8.703,8.645,0.10
May 18 2014,8.637,8.830,8.864,8.637,-2.25
May 11 2014,8.836,8.733,8.836,8.721,1.01
May 04 2014,8.748,8.760,8.802,8.735,-0.72
Apr 27 2014,8.811,8.889,8.889,8.811,-0.83
Apr 20 2014,8.885,8.861,8.885,8.842,0.36
Apr 13 2014,8.853,9.023,9.023,8.853,-1.02
Apr 06 2014,8.944,9.053,9.104,8.944,-1.33
Mar 30 2014,9.065,8.959,9.065,8.959,2.89
Mar 23 2014,8.810,8.777,8.824,8.763,0.15
Mar 16 2014,8.797,8.800,8.823,8.775,0.02
Mar 09 2014,8.795,8.831,8.831,8.718,-0.19
Mar 02 2014,8.812,8.899,8.901,8.794,-0.55
Feb 23 2014,8.861,8.854,8.918,8.854,0.75
Feb 16 2014,8.795,8.775,8.806,8.763,-0.16
Feb 09 2014,8.809,8.691,8.865,8.691,0.82
Feb 02 2014,8.737,8.745,8.745,8.684,-0.58
Jan 26 2014,8.788,8.710,8.853,8.710,0.54
Jan 19 2014,8.741,8.569,8.741,8.518,1.29
Jan 12 2014,8.630,8.721,8.721,8.588,-1.48
Jan 05 2014,8.760,8.814,8.814,8.752,-0.87
Dec 29 2013,8.837,8.923,8.923,8.811,-1.37
Dec 22 2013,8.960,8.768,8.960,8.768,1.85
Dec 15 2013,8.797,8.924,8.924,8.746,-1.28
Dec 08 2013,8.911,8.849,8.911,8.826,-2.85
Dec 01 2013,9.172,9.029,9.172,9.029,1.24
Nov 24 2013,9.060,9.080,9.098,9.000,-0.46
Nov 17 2013,9.102,8.968,9.102,8.968,0.86
Nov 10 2013,9.024,9.059,9.086,8.923,0.36
Nov 03 2013,8.992,8.702,8.992,8.702,3.30
Oct 27 2013,8.705,8.627,8.705,8.542,1.47
Oct 20 2013,8.579,8.575,8.632,8.575,0.26
Oct 13 2013,8.557,8.570,8.663,8.557,0.82
Oct 06 2013,8.487,8.615,8.683,8.428,-1.57
